id,code,name,prof,type,rate,notice
4265763,SYB8098,1인미디어와융합콘텐츠,,핵심교양,0,
4265764,SYB9105,4차산업혁명으로의항해,,핵심교양,1.2,
4265765,SYB9037,고객관계관리전략,,핵심교양,4.38,
4265766,JOB2002,현장실습(전공심화),,전공심화,0,
4265767,GEN6086,생활속의화학,김민경,핵심교양,4.27,
4265769,AIX0004,AI+X:R-Py컴퓨팅,이정환,핵심교양,3.23,
4265772,AIX0002,AI+X:인공지능,류호경,핵심교양,2.18,
4265775,SYB9115,긍정컴퓨팅을통한인간과인공지능의공존,,핵심교양,0,폐강예정
4265776,INV3003,체인지메이커액션러닝,,전공핵심,0,별도 수강신청 진행 (관장부서 문의 요망)
4265777,SYB1127,정보사회학입문,,핵심교양,3.77,
4265778,SYB8099,문화콘텐츠스토리텔링전략,,핵심교양,4.56,
4265779,SYB9031,문화기술과사회변동,,핵심교양,4.07,
4265780,SYB9036,글로벌시대의예술과가치,,핵심교양,4.11,
4265781,SYB9099,전략적의사결정과문제해결,,핵심교양,1.25,
4265782,JOB2001,현장실습(전공핵심),,전공핵심,0,
4265783,CUL1141,창의인성프로젝트,안성호,핵심교양,0,'복을나누는 사람들' 재단의 멘토링 프로그램 참여 희망자는 본 과목을 꼭 수강해야 함
4265784,SYB9032,문화콘텐츠마케팅전략의수립과집행,,핵심교양,0,
4265785,SYB1128,저작권과스마트폰의이해,,핵심교양,1.83,
4265786,SYB9102,미래소비사회와상품,,핵심교양,4.78,
4265787,SYB9111,모두의스타트업코딩,,핵심교양,1.07,
4265788,SYB9098,생활속의계약과협상,,핵심교양,4.93,
4265789,SYB9035,음식과세계문화,,핵심교양,4.73,
4265790,GEN7045,생태친화적기업경영,안광일,핵심교양,3.7,
4265791,CUL2053,현실경제의이해,최연수,핵심교양,2.88,
4265793,CUL0124,창의혁신리더십론,한상우,핵심교양,3,
4265794,CUL5001,주거학개론,조명은,핵심교양,0,
4265795,CUL6069,CEO세미나(혁신과변화),김종식,핵심교양,4.53,
4265796,CUL1139,4차산업혁명핵심기술의이해,김철환,핵심교양,3.88,
4265797,CUL2025,가족문제,안윤영,핵심교양,4.5,
4265798,CUL4077,발달과부모교육,안윤영,핵심교양,4.38,
4265799,CUL1155,건강과사회그리고심리학,김현수,핵심교양,3.2,
4265800,CUL4078,분노와자기관리,권선주,핵심교양,4.27,
4265801,CUL1137,놀이의재발견,권선주,핵심교양,2.67,
4265802,CUL0092,제3세계문화의이해,강경란,핵심교양,4.22,
4265803,GEN1078,문화론특강,강경란,핵심교양,0,
4265804,CUL0076,프랑스문화관광,이숙은,핵심교양,4.08,
4265805,FRE1055,기초프랑스어,김이정,핵심교양,4.39,
4265807,FRE1055,기초프랑스어,노희진,핵심교양,4.16,
4265808,GEN5069,중급프랑스어,문규영,핵심교양,5,
4265809,CUL5057,실용일어회화,배소연,핵심교양,4.36,
4265810,CUL5057,실용일어회화,전유나,핵심교양,0,
4265811,CUL5067,현대중국의시장과통상,이성란,핵심교양,0,
4265812,CUL1119,인구변화와미래복지,전영수,핵심교양,4.7,
4265813,CUL0116,Understanding the new business environment,김상범,핵심교양,5,
4265814,DIS0016,Banking & Investment Practice,김순성,핵심교양,0,
4265815,CUL2022,말과현대생활,강효경,핵심교양,0,
4265816,GEN5048,호텔산업의이해,양은주,핵심교양,3.6,
4265817,CUL2026,현대인의의생활,이지연,핵심교양,4.08,
4265818,CUL7016,영화의역사,김윤지,핵심교양,4.52,
4265819,GEN2078,연극의이해,김영환,핵심교양,3.91,
4265820,GEN3086,구급법,성기석,핵심교양,1,
