id,code,name,prof,type,rate,notice
4123359,YHA1002,채플,강승일,교기/공기,0,P/NP
4123362,YHB1001,기독교와현대사회,한정헌,교기/공기/학기,5,상대평가
4123363,YHB1001,기독교와현대사회,조규오,교기/공기/학기,4,상대평가
4123364,YHB1001,기독교와현대사회,김영혜,교기/공기/학기,4.23,"""FLIPPED CLASSROOM"
4123365,YHB1002,성서와기독교,강승일,교기/공기/학기,4.44,"""영어강의"
4123366,YHB1002,성서와기독교,시몬김,교기/공기/학기,3.42,상대평가
4123367,YHB1002,성서와기독교,김영혜,교기/공기/학기,5,"""FLIPPED CLASSROOM"
4123368,YHB1002,성서와기독교,조규오,교기/공기/학기,3.82,상대평가
4123369,YHB1002,성서와기독교,전준식,교기/공기/학기,2.86,상대평가
4123370,YHB1002,성서와기독교,한정헌,교기/공기/학기,4.43,상대평가
4123371,YHB1002,성서와기독교,정승우,교기/공기/학기,3.53,"""FLIPPED CLASSROOM"
4123372,YHB1003,기독교역사와문화,김영혜,교기/공기/학기,3.91,"""FLIPPED CLASSROOM"
4123373,YHB1004,기독교와과학,"""정찬문",한봉수,박송용,정순희
4123374,YHC1001,글쓰기,장기영,교기/공기,4.25,절대평가
4123375,YHD1001,교양영어Ⅰ,김혜원,교기,4.09,절대평가
4123376,YHD1001,교양영어Ⅰ,권소정,교기,4.32,절대평가
4123377,YHD1001,교양영어Ⅰ,신지항,교기,4.52,절대평가
4123378,YHD1001,교양영어Ⅰ,이수림,교기,4.73,절대평가
4123379,YHD1001,교양영어Ⅰ,권영중,교기,3.52,절대평가
4123380,YHD1001,교양영어Ⅰ,오규호,교기,4.93,절대평가
4123381,YHD1001,교양영어Ⅰ,김영미,교기,3.05,절대평가
4123382,YHD1001,교양영어Ⅰ,오규호,교기,4.93,절대평가
4123383,YHD1001,교양영어Ⅰ,천인희,교기,4.17,절대평가
4123384,YHD1001,교양영어Ⅰ,이수림,교기,4.73,절대평가
4123385,YHD1001,교양영어Ⅰ,천인희,교기,4.17,절대평가
4123386,YHD1001,교양영어Ⅰ,이수림,교기,4.73,절대평가
4123387,YHD1001,교양영어Ⅰ,권영중,교기,3.52,절대평가
4123388,YHD1001,교양영어Ⅰ,오규호,교기,4.93,절대평가
4123389,YHD1001,교양영어Ⅰ,홍순태,교기,4.43,절대평가
4123390,YHD1001,교양영어Ⅰ,이영규,교기,4.67,절대평가
4123391,YHD1001,교양영어Ⅰ,김혜원,교기,4.09,절대평가
4123392,YHD1001,교양영어Ⅰ,홍순태,교기,4.43,절대평가
4123394,YHD1001,교양영어Ⅰ,이영규,교기,4.67,절대평가
4123395,YHD1001,교양영어Ⅰ,이제원,교기,2.71,절대평가
4123397,YHD1001,교양영어Ⅰ,김영미,교기,3.05,절대평가
4123398,YHD1001,교양영어Ⅰ,권소정,교기,4.32,절대평가
4123400,YHD1001,교양영어Ⅰ,신지항,교기,4.52,절대평가
4123402,YHD1001,교양영어Ⅰ,김영미,교기,3.05,절대평가
4123403,YHD1001,교양영어Ⅰ,천인희,교기,4.17,절대평가
4123404,YHD1001,교양영어Ⅰ,이제원,교기,2.71,절대평가
4123405,YHD1001,교양영어Ⅰ,이영규,교기,4.67,절대평가
4123406,YHX1001,컴퓨팅사고,,교기/필교,0,
4123407,YHF1004,서양음악의이해,이범석,대교/필교/학선,4.31,절대평가
4123409,YHF1005,음악사,김광현,대교/필교/학필,4.65,절대평가
4123410,YHF1006,대중문학의이해,고훈,대교/필교/학선,4.66,절대평가
4123411,YHF1007,연극의이해,우수진,대교/필교/학필,4,절대평가
4123412,YHF1008,영화의이해,유지영,대교/필교/학필,4.08,절대평가
4123414,YHF1011,미술사,전옥례,대교/필교/학필,3.02,절대평가
4123415,YHF1012,미학,이정은,대교/필교/학선,4.67,절대평가
4123416,YHF1019,클래식음악과문화,이범석,대교/필교,3.82,절대평가
4123417,YHG1002,현대사회와심리학,김정민,대교/필교/학필,4.36,절대평가
4123418,YHG1003,인간행동의심리적이해,김성학,대교/필교/학선,3.98,절대평가
4123419,YHG1004,우리교육의어제와오늘,고요한,대교/필교/학필,4.77,절대평가
4123420,YHG1005,서양문화의유산,이지원,대교/필교/학필,3.76,절대평가
4123421,YHG1005,서양문화의유산,서이자,대교/필교/학필,4.76,"""영어강의"
4123422,YHG1006,한국근현대사,원재영,대교/필교/학필,0,절대평가
4123423,YHG1006,한국근현대사,조민지,대교/필교/학필,4.78,"""영어강의"
4123424,YHG1007,한국전통문화의유산,이선희,대교/필교/학선,3.79,절대평가
