id,code,name,prof,type,rate,notice
3702682,CHI1037-12939,중국어입문,방건춘,전공핵심,3.33,중국국적자  어학특기자  전과정해외이수자  중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
3703910,CHI1037-11132,중국어입문,최형욱,전공핵심,0,중국국적자  어학특기자  전과정해외이수자  중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
3702520,CHI2053-13097,중국어작문1,방건춘,전공기초(필수),0,중국국적자  어학특기자  전과정해외이수자  중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
3702600,CHI2054-12941,중급중국어1,함영은,전공심화,0,중국국적자  어학특기자  전과정해외이수자  중고교과정해외이수자 수강신청 불가^국적 중국 제외 ˂˃
3703645,SYG0003-12478,경제와경영,염지환,전공심화/전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703643,PER3040-12474,경제와사회,소근주,전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701821,GEN6064-15297,고급한국어,조성문,핵심교양,3,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701683,GEN4091-15389,과학기술의철학적이해,오윤정,교양필수,4.4,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701685,GEN4091-15391,과학기술의철학적이해,오준영,교양필수,3.2,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701684,GEN4091-15390,과학기술의철학적이해,이채리,교양필수,4.46,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701688,GEN4091-15403,과학기술의철학적이해,정혜경,교양필수,4.32,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703646,SYG0006-12479,국제통상과마케팅,김도연,전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3702308,PER3026-12956,동아시아경제,소근주,전공핵심,5,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701711,CUL0005-15388,말과글,민금숙,교양필수,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701682,CUL0005-15386,말과글,민금숙,교양필수,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701708,CUL0005-15384,말과글,임은희,교양필수,2.21,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701709,CUL0005-15385,말과글,조은파,교양필수,4.71,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703559,KOR4066-12468,무역한국어,엄태경,전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3702485,KOR4066-12957,무역한국어,이영숙,전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703642,PER3021-12472,비즈니스한국어작문,엄태경,전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703558,PER3041-12455,외국인을위한한국문화원형,김영은,전공심화/전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3702531,PER3041-12958,외국인을위한한국문화원형,박은정,전공심화,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3702062,CUL3011-15363,일반물리학및실험1,조진호,전공기초(필수),3.72,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701855,CUL1041-15057,전통음악감상,배인교,핵심교양,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703641,PER2021-12470,한국사회와문화,이은실,전공심화,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703560,PER2019-12469,한국어작문,김순자,전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3702524,PER2019-13102,한국어작문,김순자,전공핵심,0,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3703644,PER4010-12476,한국어텍스트의이해,김순자,전공심화/전공핵심,5,외국인학생 대상 강좌^국적 대한민국 제외 ˂˃
3701864,CUL1115-15066,Aesthetic Awareness in the Modern World,Gary Joseph Turnham,핵심교양,4.09,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701865,CUL1116-15067,Animal Ethics,Mark A. Rublik,핵심교양,3.6,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3702004,CUL6100-15180,Capturing the Essence of Outliers: Exploring the Minds of Innovative Leaders,Stacey Eujung Choi,핵심교양,5,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3702005,CUL6101-15181,Critical Reading in Social Science,Michael William Brandon,핵심교양,4.5,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3702064,CUL3101-15122,Cultural and Ethnic Diversity In Korea,S. Afflick-Smith,핵심교양,3.5,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701866,CUL1117-15068,Introduction to Digital Photography,Ed Topliffe,핵심교양,3.67,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701755,GEN3096-15249,Modern Stress and You,Elizabeth Yoon,핵심교양,4,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3702006,CUL6102-15182,Reading in Science Fiction,Fredrick S. Schroeder,핵심교양,3.56,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3702065,CUL3102-15123,The Language of Cinema,Hugh Newton,핵심교양,4.42,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701867,CUL1118-15069,The Language of Global Cuisine,Mimi Eun Newton,핵심교양,4.13,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701786,GEN5072-15267,영어연기개론,Shelley L. Collins,핵심교양,4.68,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701840,GEN7024-15304,영어와창의적논리적사고,Mark Gerard McShea,핵심교양,4.41,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701882,GEN7042-15326,영어작문4(비판적글쓰기),Douglas N. McIntosh,핵심교양,2,영어구사력이 능통하여야만 원활한 수업 진행가능.  원어민과 의사소통에 어려움이 있는 학생은 수강신청을 자제하시기 바랍니다.
3701795,GEN6045-15277,기초학술영어,Andreas Jacques Varsakopoulos,핵심교양,2,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3702074,GEN6045-15287,기초학술영어,Esther du Plessis,핵심교양,5,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701796,GEN6045-15278,기초학술영어,Esther du Plessis,핵심교양,5,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701817,GEN6045-15286,기초학술영어,Fredrick S. Schroeder,핵심교양,4,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3702075,GEN6045-15288,기초학술영어,Glen O. Swafford,핵심교양,0,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701793,GEN6045-15275,기초학술영어,Hugh Newton,핵심교양,5,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701794,GEN6045-15276,기초학술영어,Jessica Warren,핵심교양,2,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701816,GEN6045-15285,기초학술영어,Mark Gerard McShea,핵심교양,5,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701811,GEN6045-15280,기초학술영어,Mimi Eun Newton,핵심교양,4.15,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3702076,GEN6045-15289,기초학술영어,Mimi Eun Newton,핵심교양,4.15,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701813,GEN6045-15282,기초학술영어,S. Afflick-Smith,핵심교양,1.73,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701814,GEN6045-15283,기초학술영어,Todd Lee Doyle,핵심교양,4.8,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3702077,GEN6045-15290,기초학술영어,Younghwa Choi-Hong,핵심교양,5,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701792,GEN6045-15274,기초학술영어,Younghwa Choi-Hong,핵심교양,5,신입생 영어레벨테스트 'C'등급인 학생 필수 수강
3701835,CUL1026-15052,대학합창,KIM PETER JIN,핵심교양,4.47,수강신청 후 15053 수업과 합반^성별 남자 동일 =
3703003,MAT2017-12350,확률통계론,최진식,전공기초(필수)/전공핵심,2.75,소프트웨어 비전공자 과정으로 삼성SCSC프로그램 신청자에 한해 수강신청 가능  공학인증구분
